# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
28            	2.320229e-03	1.183810e-03	1.136419e-03	7.539881e-04	7.872670e-04	-3.327889e-05	4.102729e-04	2.369522e-05	-5.298795e-05	-6.466764e-05	-8.532177e-05	2.065413e-05
29            	2.320544e-03	1.184521e-03	1.136023e-03	7.673409e-04	8.007415e-04	-3.340058e-05	4.170710e-04	2.424884e-05	-5.325562e-05	-6.439302e-05	-8.545213e-05	2.105911e-05
30            	2.324474e-03	1.186951e-03	1.137523e-03	7.803962e-04	8.139510e-04	-3.355483e-05	4.237529e-04	2.471368e-05	-5.279384e-05	-6.559881e-05	-8.559324e-05	1.999444e-05
31            	2.324607e-03	1.187521e-03	1.137086e-03	7.923260e-04	8.259889e-04	-3.366288e-05	4.298259e-04	2.521759e-05	-5.311747e-05	-6.518174e-05	-8.570834e-05	2.052660e-05
32            	2.328282e-03	1.189750e-03	1.138532e-03	8.035131e-04	8.373128e-04	-3.379966e-05	4.355562e-04	2.560912e-05	-5.270682e-05	-6.625628e-05	-8.583496e-05	1.957867e-05
33            	2.328289e-03	1.190177e-03	1.138111e-03	8.135293e-04	8.474200e-04	-3.389075e-05	4.406554e-04	2.603299e-05	-5.301974e-05	-6.581933e-05	-8.592941e-05	2.011008e-05
34            	2.331578e-03	1.192127e-03	1.139451e-03	8.226597e-04	8.566680e-04	-3.400837e-05	4.453382e-04	2.633771e-05	-5.264513e-05	-6.677342e-05	-8.603184e-05	1.925842e-05
35            	2.331506e-03	1.192436e-03	1.139069e-03	8.308420e-04	8.649267e-04	-3.408470e-05	4.495057e-04	2.668353e-05	-5.297469e-05	-6.627822e-05	-8.611380e-05	1.983557e-05
36            	2.334349e-03	1.194103e-03	1.140247e-03	8.383498e-04	8.725332e-04	-3.418332e-05	4.533582e-04	2.692813e-05	-5.262098e-05	-6.714439e-05	-8.619317e-05	1.904878e-05
37            	2.334177e-03	1.194306e-03	1.139870e-03	8.450975e-04	8.793436e-04	-3.424606e-05	4.567948e-04	2.721802e-05	-5.294620e-05	-6.662872e-05	-8.626056e-05	1.963184e-05
38            	2.336748e-03	1.195765e-03	1.140983e-03	8.509688e-04	8.852978e-04	-3.432899e-05	4.598134e-04	2.739092e-05	-5.265784e-05	-6.734123e-05	-8.632845e-05	1.898723e-05
39            	2.336479e-03	1.195855e-03	1.140625e-03	8.562265e-04	8.906045e-04	-3.437801e-05	4.624913e-04	2.761500e-05	-5.298371e-05	-6.679986e-05	-8.638364e-05	1.958378e-05
40            	2.338620e-03	1.197055e-03	1.141566e-03	8.608804e-04	8.953255e-04	-3.444510e-05	4.648853e-04	2.774457e-05	-5.271261e-05	-6.743602e-05	-8.643062e-05	1.899460e-05
41            	2.338362e-03	1.197119e-03	1.141243e-03	8.652240e-04	8.997102e-04	-3.448625e-05	4.670982e-04	2.793800e-05	-5.304767e-05	-6.686882e-05	-8.648208e-05	1.961325e-05
42            	2.340258e-03	1.198155e-03	1.142103e-03	8.688194e-04	9.033607e-04	-3.454125e-05	4.689510e-04	2.802614e-05	-5.282138e-05	-6.739906e-05	-8.652091e-05	1.912184e-05
43            	2.339916e-03	1.198141e-03	1.141776e-03	8.722551e-04	9.068278e-04	-3.457271e-05	4.707002e-04	2.818243e-05	-5.314999e-05	-6.682531e-05	-8.656264e-05	1.973734e-05
44            	2.341558e-03	1.199011e-03	1.142547e-03	8.749000e-04	9.095170e-04	-3.461706e-05	4.720670e-04	2.823182e-05	-5.295984e-05	-6.726394e-05	-8.659181e-05	1.932787e-05
45            	2.341245e-03	1.198981e-03	1.142264e-03	8.775915e-04	9.122338e-04	-3.464235e-05	4.734381e-04	2.835885e-05	-5.328944e-05	-6.668477e-05	-8.663182e-05	1.994706e-05
46            	2.342618e-03	1.199700e-03	1.142919e-03	8.796269e-04	9.143042e-04	-3.467730e-05	4.744908e-04	2.839038e-05	-5.310322e-05	-6.709273e-05	-8.664958e-05	1.955685e-05
47            	2.342307e-03	1.199660e-03	1.142647e-03	8.819123e-04	9.166104e-04	-3.469813e-05	4.756543e-04	2.850620e-05	-5.342311e-05	-6.652578e-05	-8.668600e-05	2.016022e-05
48            	2.343554e-03	1.200287e-03	1.143267e-03	8.833063e-04	9.180328e-04	-3.472652e-05	4.763797e-04	2.850962e-05	-5.327394e-05	-6.685506e-05	-8.670147e-05	1.984641e-05
49            	2.343216e-03	1.200207e-03	1.143009e-03	8.850156e-04	9.197573e-04	-3.474167e-05	4.772495e-04	2.859931e-05	-5.358345e-05	-6.629989e-05	-8.673339e-05	2.043350e-05
50            	2.344224e-03	1.200703e-03	1.143521e-03	8.859995e-04	9.207625e-04	-3.476306e-05	4.777628e-04	2.859128e-05	-5.343032e-05	-6.661606e-05	-8.673835e-05	2.012229e-05
51            	2.343959e-03	1.200659e-03	1.143300e-03	8.875307e-04	9.223077e-04	-3.477701e-05	4.785424e-04	2.867980e-05	-5.373129e-05	-6.608162e-05	-8.677210e-05	2.069048e-05
52            	2.344881e-03	1.201103e-03	1.143779e-03	8.882238e-04	9.230182e-04	-3.479438e-05	4.789063e-04	2.866209e-05	-5.359040e-05	-6.637077e-05	-8.677578e-05	2.040501e-05
53            	2.344619e-03	1.201053e-03	1.143566e-03	8.895500e-04	9.243556e-04	-3.480559e-05	4.795806e-04	2.874316e-05	-5.387041e-05	-6.587209e-05	-8.680646e-05	2.093437e-05
54            	2.345455e-03	1.201443e-03	1.144012e-03	8.899858e-04	9.248055e-04	-3.481978e-05	4.798127e-04	2.871584e-05	-5.373619e-05	-6.614339e-05	-8.680788e-05	2.066449e-05
55            	2.345266e-03	1.201425e-03	1.143841e-03	8.911482e-04	9.259784e-04	-3.483022e-05	4.804043e-04	2.879181e-05	-5.400210e-05	-6.567735e-05	-8.684077e-05	2.116342e-05
56            	2.345950e-03	1.201739e-03	1.144211e-03	8.914477e-04	9.262884e-04	-3.484067e-05	4.805645e-04	2.876416e-05	-5.385445e-05	-6.596286e-05	-8.683587e-05	2.087302e-05
57            	2.345758e-03	1.201719e-03	1.144038e-03	8.925348e-04	9.273847e-04	-3.484985e-05	4.811173e-04	2.884057e-05	-5.410383e-05	-6.552549e-05	-8.686658e-05	2.134109e-05
58            	2.346378e-03	1.201989e-03	1.144390e-03	8.925731e-04	9.274309e-04	-3.485778e-05	4.811443e-04	2.879966e-05	-5.397485e-05	-6.577281e-05	-8.686126e-05	2.108845e-05
59            	2.346168e-03	1.201946e-03	1.144222e-03	8.933983e-04	9.282627e-04	-3.486442e-05	4.815636e-04	2.886222e-05	-5.421109e-05	-6.535602e-05	-8.688910e-05	2.153308e-05
60            	2.346639e-03	1.202139e-03	1.144500e-03	8.933046e-04	9.281736e-04	-3.486903e-05	4.815213e-04	2.881933e-05	-5.406859e-05	-6.561581e-05	-8.687649e-05	2.126068e-05
61            	2.346482e-03	1.202128e-03	1.144354e-03	8.941514e-04	9.290276e-04	-3.487622e-05	4.819519e-04	2.888699e-05	-5.429527e-05	-6.522124e-05	-8.690590e-05	2.168465e-05
62            	2.346920e-03	1.202300e-03	1.144621e-03	8.939427e-04	9.288221e-04	-3.487941e-05	4.818508e-04	2.883932e-05	-5.416019e-05	-6.546664e-05	-8.689351e-05	2.142687e-05
63            	2.346741e-03	1.202272e-03	1.144469e-03	8.946806e-04	9.295656e-04	-3.488498e-05	4.822253e-04	2.890120e-05	-5.437244e-05	-6.509448e-05	-8.691968e-05	2.182520e-05
64            	2.347107e-03	1.202401e-03	1.144706e-03	8.943312e-04	9.292175e-04	-3.488635e-05	4.820519e-04	2.884730e-05	-5.424037e-05	-6.532848e-05	-8.690462e-05	2.157613e-05
65            	2.346973e-03	1.202393e-03	1.144580e-03	8.950020e-04	9.298940e-04	-3.489199e-05	4.823930e-04	2.890681e-05	-5.444710e-05	-6.497061e-05	-8.693241e-05	2.196180e-05
